,pvalue,weighted_pvalue,log2FoldChange
Wdr54,0.001770876,0.002641874,1.947031694
Fth1,0.001778298,0.001098281,0.476828997
Stimate,0.001780828,0.001736193,0.530926845
B230354K17Rik,0.00178919,0.001772359,0.662285557
Gm3699,0.001789698,0.001836485,-0.786019102
Aig1,0.001815811,0.001783335,-0.539070926
Slc48a1,0.001816293,0.001770769,0.595283157
Trim8,0.001815071,0.001573663,0.348581051
Tmem63a,0.001818449,0.001730063,0.381234534
Fam104a,0.001826019,0.001808843,-0.40401125
Xylt1,0.001825978,0.00179332,0.815188266
Gm26732,0.001834067,0.00111902,-1.375403421
Pik3r3,0.001835882,0.0015367,-1.453534885
Dnajb13,0.001845495,0.002010581,0.585697695
Gm29585,0.00186343,0.002174129,0.96549018
Anapc16,0.001874977,0.001827983,-0.464701845
Rilpl1,0.001877559,0.002045513,1.261869727
Nudt2,0.001884034,0.001866311,0.808729954
Chic1,0.001895234,0.002624742,1.494363145
Fam102a,0.00189597,0.001643802,0.415858727
Ift172,0.001896024,0.001862113,-0.667515571
Shf,0.0018975,0.002067238,-1.065223362
Drap1,0.001899783,0.001812168,-0.434256278
Mrpl19,0.001911198,0.00149816,-0.4304413
Ndufa10,0.001913116,0.001779004,-0.340964817
Exosc2,0.001921902,0.001758833,-0.35192159
Psmd4,0.001922463,0.001187318,-0.237666841
Stx12,0.001922808,0.001759663,0.564506829
Gnb1,0.001925978,0.001179235,0.235425985
Tanc2,0.001932723,0.001884281,0.745588361
Zkscan14,0.001944397,0.001780109,-0.45267081
Palm3,0.001949164,0.00248455,-0.754699612
Rsph3b,0.001953189,0.002479094,0.678968952
Slc8b1,0.001952954,0.001934584,0.574180618
Lman2,0.001957743,0.00121427,0.322324814
Surf1,0.001959047,0.001195274,0.46905065
Adamts17,0.001970958,0.002980864,-1.475887534
Itgb3bp,0.001974623,0.0025063,-0.638562038
Rnf227,0.001978065,0.002029776,0.960534492
Vwa3b,0.001979333,0.002156391,-1.621581319
Wdr59,0.001979238,0.00196062,-0.578538182
Ugdh,0.001982124,0.001814649,0.37772768
Trbv1,0.001987086,0.001212382,-0.650825773
Nhp2,0.001999842,0.002579073,-0.529644199
Supt7l,0.002001497,0.00205382,-0.381610645
Pdap1,0.002003434,0.001222357,-0.513383041
Gm10069,0.002006498,0.002778833,-1.228739599
Oxct1,0.002006848,0.00151345,-0.434219964
Kdm2a,0.002012647,0.002337163,0.247667304
Pomp,0.002013253,0.001908495,-0.463613979
Secisbp2,0.002013164,0.00157809,-0.308317802
Klrc3,0.002015257,0.003034903,1.66504327
1810026B05Rik,0.002019261,0.0012471,-0.509791999
5830444F18Rik,0.002025225,0.001997497,-1.391336233
Tle4,0.002025589,0.001251008,-0.436510198
Mettl7a1,0.002033989,0.002215937,0.798532585
Maip1,0.002036334,0.002008454,-0.44322362
Gm5547,0.002039327,0.002002853,0.491436344
Atxn7,0.002042766,0.001867382,0.346185391
Acsf2,0.002049087,0.002029812,-0.662996115
Fos,0.002049214,0.001265599,0.65679662
AB124611,0.00207081,0.001845152,-0.521232531
Enkd1,0.002074393,0.002259955,0.802732864
Hk2,0.002078461,0.002132797,0.953267714
Psme2,0.002086605,0.001288692,-0.471519597
Mfsd14b,0.002110795,0.002451137,0.470750288
Ndrg4,0.002112153,0.00216737,1.254859674
Ppp4r2,0.002111518,0.002058595,-0.422151127
Itih5,0.002113967,0.002303069,-1.116435481
Nme1,0.002117715,0.001935896,-0.509783589
Nolc1,0.002118384,0.001308319,-0.35609973
Gm20707,0.002127234,0.002026428,0.683466458
2310031A07Rik,0.002130679,0.003503812,1.12249392
Phax,0.002133811,0.002751844,0.34794688
Gm13546,0.002136237,0.003304191,-1.35254439
Bloc1s5,0.002141518,0.002333085,0.551042932
Rab37,0.002144628,0.002045722,0.370596979
Gm37124,0.002151798,0.00353854,-1.90789048
Zfp213,0.002154471,0.00274625,-0.605771575
9330175E14Rik,0.00216204,0.002744179,-0.550374384
Txn1,0.002162392,0.002049873,0.411606269
Rnf38,0.002166066,0.002014222,-0.482648895
D630039A03Rik,0.002175146,0.002072069,1.672685011
Epas1,0.002180336,0.002237335,1.272508303
Gpr162,0.002185259,0.003593565,-1.796361687
Cdca3,0.002188231,0.002777423,-0.848701149
Sacm1l,0.002191562,0.002003403,0.496477919
Polr1b,0.002192719,0.00200745,-0.405796445
Hdac8,0.002195563,0.002391964,-0.580251917
Hmgn3,0.002197409,0.003613546,-1.805298119
Dyrk1a,0.002206663,0.002051972,-0.307937602
Il1rl2,0.002213984,0.002271863,-0.769112502
Lsp1,0.002217741,0.001406764,0.334689248
Alg8,0.00222906,0.002198541,-0.612525291
Lpar5,0.002228426,0.002286682,0.747622941
Tpgs2,0.002237984,0.001365462,0.405174967
Pdia3,0.00225044,0.001427506,0.317888081
Babam1,0.002252364,0.002058984,-0.314645904
Bnip2,0.002253438,0.002616779,0.427383058
Zc3h4,0.002253678,0.002062459,0.426630966
Unkl,0.002256441,0.002064987,0.44978668
Slfn8,0.002270137,0.002927656,0.659028446
Cryl1,0.002275421,0.002900422,-0.433647175
Ranbp1,0.002287143,0.002126811,-0.370494592
Rapgef6,0.002294344,0.001416992,-0.38119148
Wdr26,0.002294213,0.002664129,-0.370582923
Tbrg4,0.002301862,0.002051026,-0.615865751
Dsel,0.002309256,0.002199824,0.94420569
Chchd3,0.002314886,0.00220237,-0.274775132
Klc4,0.002313847,0.002255853,0.519033477
Pafah1b2,0.00231517,0.002688464,0.322206693
Usp12,0.002320103,0.001818694,-0.583077685
Inpp5a,0.002323452,0.002384193,-0.495472701
Slc45a4,0.002323624,0.001417714,0.378082636
Atp2c1,0.002325645,0.00221839,0.314170706
Adprh,0.002328378,0.002165156,0.482907494
Cdc14a,0.002333454,0.001423712,0.485572278
Gpd2,0.002335754,0.003012277,0.4853928
Gatad1,0.002337418,0.002295612,0.481500893
Mtfr1,0.002339145,0.002231267,0.34591215
Snx33,0.002347048,0.002314913,0.428345862
6330549D23Rik,0.002347912,0.003631598,-1.436731747
Xcl1,0.002353412,0.002331275,0.836580637
Csnk1g1,0.002360597,0.001850437,0.575266222
Gpatch3,0.002360556,0.001440248,-0.411045813
Smox,0.00236803,0.001856264,0.505850307
Lhpp,0.002377717,0.002590413,-0.758347928
Ifrd2,0.002388841,0.002346116,-0.598837576
Zc3h12d,0.002396787,0.001462353,-0.558684245
Dhrs7,0.002402435,0.002196171,0.525849625
Rb1,0.002416691,0.001822529,0.562003901
D430042O09Rik,0.002417776,0.002374533,0.690786586
Gm10275,0.002429189,0.00203332,-0.896406203
Aldh3a2,0.002435226,0.001836508,0.495744778
Sv2a,0.002434456,0.002411556,-1.194240345
Wwp2,0.002443873,0.001509342,0.276022766
Gm4149,0.002445232,0.002422231,-0.75627601
Ctsb,0.002446789,0.002121361,0.563995615
Ric1,0.002458673,0.002190749,0.612922548
Fry,0.002464259,0.00252868,0.562823765
Smyd5,0.002468215,0.002354385,-0.343387851
Ube3a,0.00246982,0.002296682,0.365124
Pigs,0.00248816,0.001578297,0.342374312
Tbc1d31,0.00249022,0.003160724,0.613382805
Perp,0.002494804,0.002560024,0.926415571
9930111J21Rik2,0.002496305,0.00188257,0.675944538
Paip2b,0.002501868,0.002229238,-0.605537451
Eef1a1,0.002506459,0.001534651,-0.509109272
Dnajc6,0.002515574,0.00348386,-1.724234252
Neat1,0.002519987,0.001598485,0.779440662
Oxsr1,0.002520511,0.00230411,0.375703198
Card9,0.002522439,0.004298434,-1.583359494
Dis3,0.002526977,0.00225161,-0.318117315
Pak1,0.002537101,0.002603427,-1.605600042
Lrp8,0.002543766,0.002480008,0.626399841
Tpp2,0.002544898,0.001558186,0.348239535
Dusp9,0.002547676,0.00352832,1.164661407
Trmt10a,0.002551071,0.002527074,-0.568751664
Rassf5,0.002554718,0.001620516,0.432022098
Rabgef1,0.002565428,0.001934698,0.446012878
Spock2,0.002571748,0.00438246,1.006089059
Rpl13a,0.002574125,0.003281172,-0.591854254
Hspa1b,0.002576066,0.002540795,0.648059984
Cct7,0.002597907,0.00225238,-0.357378282
Nme2,0.002604398,0.002579899,-0.553393153
Slc50a1,0.002620634,0.002493257,-0.356020836
Timm9,0.00262231,0.002690864,-0.465300723
Farsa,0.002624973,0.003048219,-0.290413416
Exosc1,0.002626173,0.002403348,-0.295990716
Zfp330,0.00263036,0.002509052,-0.31459457
Skap1,0.002632163,0.00228208,-0.239990628
Rptor,0.002634787,0.002506723,0.379385338
Zfp839,0.002646238,0.002621345,0.712104153
Sema6b,0.00264721,0.002716414,1.282975655
Gm13436,0.002655091,0.004524482,-0.875363783
Hspbp1,0.002657234,0.002470958,-0.373237008
Lrp10,0.002658806,0.00162793,0.390746213
Aktip,0.002673052,0.002606055,0.455673479
Chd1l,0.002688463,0.003121947,-0.253873608
Haus3,0.002698655,0.002509475,0.35464474
Ttc13,0.002702603,0.002577963,-0.36418741
Pbx2,0.002720913,0.002964308,-0.566643769
Gvin1,0.002724436,0.003458004,0.711179016
Irgm2,0.002726941,0.002678169,-0.534205143
Prkx,0.002735455,0.002543696,0.352422405
Enpp5,0.002753744,0.002623248,-0.780243959
Glrx5,0.002762079,0.002524938,-0.298210649
B930095G15Rik,0.002777491,0.002850101,1.304739586
Nlrc3,0.002779409,0.002409742,0.370167055
Snrnp200,0.002781487,0.001764361,0.301651856
Ssr4,0.002782106,0.002547037,-0.297004426
Hps4,0.002789721,0.001702094,0.341434864
Dcp1b,0.002799469,0.00276114,-0.393485688
Galr3,0.002809915,0.004346194,1.513390839
Gm49396,0.002810804,0.002884285,0.699327936
Trpm1,0.002827448,0.003080374,-1.715686272
Tns2,0.002829503,0.003082612,1.157998405
Gzmm,0.002830654,0.002759706,-1.042185843
Acox1,0.002831691,0.002760718,0.314119195
Heatr1,0.002840674,0.002709666,-0.426599759
Tmem151a,0.002859628,0.002832728,1.492320937
S1pr2,0.002867406,0.002816121,0.84654115
Tnnt3,0.002866843,0.002399653,0.713121506
Iqcn,0.00287303,0.002736881,1.075167277
Cpt1a,0.002880583,0.003345044,0.561543724
Tm7sf3,0.002881908,0.002567864,0.617511083
Atp6v0a1,0.002889652,0.003148142,1.216365203
Gm14137,0.002892109,0.00431458,1.17008594
Slc30a4,0.002899766,0.002872489,-0.695114308
Cysltr2,0.00290713,0.002983129,0.768548113
Tgif1,0.002915722,0.001808446,-0.648595063
Khk,0.002921531,0.003708167,-0.536046692
Atp11c,0.002922612,0.002849359,-0.443742237
Dnase2a,0.002924563,0.003727866,0.603903074
Tex10,0.00295602,0.002802205,-0.299420388
Trp53bp2,0.002959404,0.002822921,-0.432195753
C230085N15Rik,0.002966355,0.00275841,-1.292087667
Dynlt3,0.00296549,0.002937594,0.478408741
2410002F23Rik,0.002970076,0.00281553,-0.520378682
Atad5,0.002971879,0.003237724,-0.57481639
Ddx39b,0.002982559,0.001842036,-0.462585054
Mob1a,0.003001402,0.001837694,0.399836915
Slc41a3,0.003001477,0.003825906,0.595444896
9930022D16Rik,0.00300382,0.002514307,0.935653283
Mbd3,0.003007237,0.002796425,-0.308477745
Neb,0.003010235,0.00308893,-1.066283087
Clk3,0.003021807,0.002619901,-0.26928613
Hs6st1,0.003034102,0.002773606,-0.44835614
Fbxo45,0.003041075,0.002709686,0.427784971
Gm15706,0.003066908,0.003147084,-0.8546979
Cct3,0.003072201,0.001948768,-0.40534459
Zfp512b,0.003081201,0.00274544,-0.525909357
Dusp1,0.003085035,0.001888901,0.56837824
Rab11a,0.003087847,0.002826945,0.281989911
Bmyc,0.00309384,0.003926872,-0.56326995
Cdkn1c,0.003093639,0.003064538,-0.834105799
Haus4,0.003093657,0.002832264,0.398687286
Spred2,0.003102716,0.003938137,-0.73212958
Cldn12,0.003125988,0.003405619,1.159722075
Pecr,0.003151377,0.003002037,-0.612287825
Pold4,0.003155513,0.003437785,-0.424377157
Zmat1,0.003154932,0.003437152,0.595150694
Snrpa,0.003184916,0.003038032,-0.334084572
Gabpb1,0.003186377,0.002917151,-0.45135212
Lars2,0.003207225,0.00198079,-0.615161117
Gm20559,0.003212461,0.002939891,0.473183225
Ung,0.003211446,0.00409355,-0.766409078
Tspyl1,0.003237419,0.001982202,0.322947431
Pter,0.003248626,0.00883852,1.49021453
Csrnp2,0.00325144,0.002975562,-0.698691557
Frat1,0.003260568,0.003552237,-0.604386355
Orai2,0.00326603,0.002017108,-0.341134947
Usp31,0.003269944,0.002913615,0.408314643
Dgcr6,0.00328294,0.004166887,-0.777303205
Birc3,0.003285987,0.00312627,-0.550216696
C130089K02Rik,0.003290698,0.008991217,-1.468182383
Ldha,0.003296865,0.002036152,-0.328487414
Scara5,0.003299918,0.005426576,1.646517465
Cdkn1a,0.00330198,0.002588373,1.113864281
Zfp874a,0.003312966,0.003267606,-0.527199139
Zfp592,0.003323898,0.002881812,-0.356955567
Ccna2,0.003325285,0.003412216,-1.109522858
Kcnc1,0.003342173,0.003296414,0.551608324
Kpna6,0.003344103,0.003284292,0.478317433
Fastkd1,0.00335132,0.003267323,-0.434501337
Col27a1,0.003355972,0.005006593,-1.661893253
Etv5,0.003356712,0.003197642,-1.0436428
Tm9sf4,0.00335573,0.003181117,0.327919887
Fyttd1,0.003365416,0.003210209,-0.306908801
Rps16-ps2,0.003366283,0.003206759,-0.828139553
Slc16a1,0.003384664,0.003228568,-0.539885732
Degs2,0.003391821,0.00469739,-1.072534514
Atp13a3,0.003405139,0.003248099,0.464351979
Ankrd37,0.003413887,0.003719272,-0.640516747
Dzank1,0.003426961,0.005112497,1.533309334
Ptdss1,0.003428434,0.003188096,0.306504692
Grin2d,0.003433498,0.003270789,0.993028311
Gm12165,0.003435053,0.005124569,1.205797604
Slc33a1,0.003437383,0.00374487,0.584880922
Gm48226,0.003445659,0.003753886,-0.629847933
Gm36756,0.003446916,0.00519093,1.200935578
Rsph9,0.00344852,0.009382372,0.980957283
Usp14,0.003449583,0.003158118,0.269670625
P4ha1,0.003464771,0.003284484,-0.467779411
Slc20a1,0.003485275,0.002161706,0.536032625
Hectd3,0.003489519,0.00331991,0.38018318
Anxa11os,0.003495587,0.004078423,1.22943896
Hist1h2ac,0.003498018,0.003332252,0.619909634
9930111J21Rik1,0.003510277,0.003348388,0.540729173
Pik3r1,0.003509178,0.002148595,-0.43157239
Pop5,0.003519582,0.003357264,-0.410827586
Nup85,0.003532469,0.00334866,0.351296088
Pilrb1,0.003535231,0.00602431,1.441537403
Mtmr1,0.003546677,0.003362128,0.412576105
Plod2,0.003546273,0.003638981,1.194630085
Cdk20,0.003564662,0.003883534,-0.66950259
Gm11725,0.003570319,0.005399728,-1.290594039
Gm29776,0.003568312,0.002986808,0.877761041
Gm44174,0.003570767,0.003521878,0.399292184
Pdik1l,0.003603756,0.003569857,0.633800343
Hist1h4i,0.003605054,0.003571142,0.67281902
Il4ra,0.003608537,0.00220943,-0.606842648
Hps6,0.003611678,0.003706096,0.383744656
Lrrk1,0.003611605,0.004657663,1.047774715
Cgrrf1,0.003624465,0.003590371,0.489557952
Tecpr2,0.003630248,0.004627385,0.637268345
Tgif2,0.003631361,0.003039582,-0.888099195
Tomm70a,0.003630956,0.003463502,-0.299902936
Ar,0.003665832,0.003993754,0.762319101
Prkacb,0.003666085,0.003178488,0.408965203
Cct6a,0.003670356,0.00226682,-0.332011122
Agfg2,0.003677052,0.00358489,0.52485724
Art2a,0.003677002,0.00548552,-1.434650347
Uqcrc1,0.003676541,0.002280337,-0.226113326
Tpcn2,0.003684299,0.003780615,-0.343048208
Scoc,0.003696805,0.004712223,0.406480855
Snrpa1,0.003703753,0.003532942,-0.399272177
Lmln,0.003720807,0.003685806,1.139681331
Ppfibp1,0.003754942,0.003853105,0.861298966
Id1,0.003762387,0.004098946,0.89820386
Manba,0.00376345,0.003353343,0.334264193
Zfp677,0.003769624,0.003868171,0.669720471
Comt,0.003772134,0.003704668,0.499119445
Shq1,0.003775957,0.003708422,-0.416186088
Wipf1,0.003776232,0.002312106,0.319453383
Tor2a,0.003779835,0.002850535,0.310188849
H3f3a,0.003785097,0.003519756,-0.385712283
Rrbp1,0.003784448,0.003464689,0.380598668
Alg2,0.003804386,0.003736343,0.553712893
Mrpl58,0.003842507,0.003665296,-0.434518996
Krtcap2,0.003848636,0.003648375,0.339220884
Macf1,0.003855437,0.002445592,-0.498276149
Guca1b,0.003859256,0.003822953,-0.768100378
Gimap5,0.003862891,0.002395918,-0.296178904
Rpl38,0.00387483,0.002922174,-0.562598358
Tmem135,0.003875075,0.002364302,0.329046346
Ttc7,0.003880702,0.002396731,0.363964872
Fmo1,0.003890384,0.010584549,1.58536969
Klra7,0.003892777,0.004241,-1.186716768
Cdca5,0.003900897,0.003716039,-0.957334572
Spag7,0.003901043,0.003571432,0.375652494
Snrpd2,0.00391284,0.003859267,-0.473944912
Syt13,0.003916818,0.004267191,-1.431376364
Derl2,0.003920462,0.002956587,0.254874576
Tmco6,0.003923201,0.004025763,0.341899924
Slc25a28,0.003924781,0.00382641,0.365154018
Epb41l4aos,0.0039522,0.005016349,-0.510107931
Lipa,0.003953363,0.003747653,-0.582167816
Heatr9,0.003956093,0.003918879,0.969414344
Magee1,0.003955432,0.003884688,0.490738104
Spata13,0.003962984,0.002513812,-0.386801656
Neil2,0.003976461,0.005932266,1.386199631
4921525O09Rik,0.003981763,0.004337947,-1.50539811
Gm16157,0.003985927,0.005946388,-1.36709611
Slc25a26,0.003999512,0.004104069,-0.518003991
G3bp1,0.004007107,0.0025418,-0.259822893
5033430I15Rik,0.004010952,0.004369747,1.118983195
Pbk,0.004036296,0.01098153,-1.322797688
Daglb,0.004043727,0.003971403,0.399334586
A230050P20Rik,0.004045088,0.003943702,-0.431492737
Unc13d,0.004055747,0.002515535,0.222468118
Kras,0.004059105,0.004713589,-0.335995127
Rfwd3,0.004072636,0.003727082,0.491295329
Sod2,0.004074702,0.003730418,0.397153657
Srxn1,0.004075876,0.004182429,1.547456095
Rgs12,0.004086406,0.00445195,-0.944103416
Podxl2,0.004098758,0.006198936,-1.543471651
Fam118a,0.004107565,0.003759048,-0.54818814
B3glct,0.004117435,0.004225075,0.355846416
Mtss1,0.004117376,0.004043735,-0.597038607
Zc3hav1l,0.004123627,0.004084838,0.947684637
Snrpe,0.00413355,0.003782828,-0.45841237
Gm28731,0.004137584,0.003463309,-0.771991209
Osbpl6,0.004152662,0.011346373,-1.448146672
Tmem181a,0.004152232,0.00527024,0.502726144
Slc16a13,0.00415973,0.004531833,-0.696460447
Srpk3,0.004162506,0.007093236,1.089814291
Prr3,0.004165843,0.004274748,-0.326792277
Ints14,0.004167571,0.00380976,-0.269429451
Triobp,0.00417728,0.003959919,0.359047892
Zhx2,0.004186834,0.003730591,-0.432092276
Atxn7l2,0.004195146,0.004120114,-0.522136898
1700097N02Rik,0.004206983,0.004316963,-0.609890605
Ppif,0.004211744,0.003301524,-0.317114533
Cenpj,0.004245277,0.003327809,-0.455711687
Arhgap4,0.004263282,0.002704298,-0.37722311
Gm5525,0.004263103,0.00406108,-0.667370043
Mrpl46,0.00426415,0.003215777,-0.279795257
Isca2,0.004268662,0.003346141,-0.341258883
Map3k1,0.004282613,0.004074454,-0.418551742
Tmem43,0.0042841,0.003983778,0.406208222
Glyr1,0.004288787,0.002720476,-0.25694641
D3Ertd751e,0.004293053,0.005448978,0.495204741
Dbnl,0.004297361,0.002725915,-0.220963798
Tmem147,0.00429902,0.003369938,-0.409001797
Myom1,0.004307157,0.005965053,-1.470570587
Crip2,0.004313545,0.004272969,1.054120486
Inppl1,0.004325483,0.004712413,0.979096344
Nav2,0.004341128,0.004454616,-1.488736822
Wdr18,0.00434527,0.00404066,-0.346691112
Tbc1d10a,0.004352436,0.004140884,-0.254572291
Rtn2,0.004363076,0.00659869,1.133640755
Trim28,0.004398856,0.004169965,-0.354254871
Ap5b1,0.004412659,0.004352243,0.751055408
N4bp3,0.004416923,0.004532392,0.634624141
Rpl31-ps8,0.004416849,0.007526657,-0.912005184
Cebpb,0.004448446,0.003856793,0.621552657
Gm43860,0.004447723,0.012152572,0.700158954
Got2,0.004449369,0.004244171,0.217087883
44076,0.004454618,0.005744845,0.324614754
Igtp,0.004454937,0.002825869,-0.598760642
Luzp1,0.004465505,0.004864961,0.668355565
Mrps34,0.00446754,0.004355565,-0.394803916
Ier2,0.004473595,0.003878598,-0.520949391
Ncln,0.004477189,0.003881713,-0.405394348
Itga6,0.004479121,0.004165128,-0.592006877
Fam214b,0.00448859,0.005697165,0.679550596
Acot9,0.004493985,0.004260144,0.310698058
Aak1,0.004502167,0.004283337,0.434221158
Casc4,0.004517757,0.004635862,-0.412004176
Pkmyt1,0.00452121,0.003409637,0.417180043
Lcp2,0.004522659,0.003921136,0.341518207
Aen,0.004526006,0.004317274,0.459390457
Gm37166,0.004531674,0.006853675,-1.373958328
Tuba1b,0.004535197,0.004326041,-0.427238203
Gm20735,0.004540402,0.004659099,-0.678047881
Eif2ak4,0.004549341,0.004467974,0.543689092
Basp1,0.004563004,0.004971181,-1.431839945
Pdia4,0.004568967,0.002898201,0.356330677
Slc4a8,0.004574839,0.005806637,0.56437244
Szt2,0.004585307,0.002797636,0.416874065
Ddx28,0.00459396,0.004478816,0.45180494
2700081O15Rik,0.004602108,0.004558818,-1.083518239
Armcx6,0.00460758,0.005375824,-1.100351829
Casp8,0.004604169,0.003991805,-0.344934709
Pmvk,0.004606777,0.005872142,0.511646145
Psma7,0.004604002,0.002855585,-0.294326825
Selenot,0.0046007,0.004518415,-0.355707931
Tsen2,0.004607678,0.005019852,-0.455990092
Edem3,0.004612122,0.004109535,0.531003123
Hmga1,0.004611214,0.005877798,-0.499000986
Rasgrp1,0.004615627,0.002927798,-0.417990469
Trbj2-2,0.004638941,0.004760213,-0.617226951
Apopt1,0.004641283,0.003638233,-0.305140207
Mcm3,0.004646972,0.004421104,-0.43206943
Syne2,0.004648038,0.003505283,0.357774289
Piezo1,0.004652892,0.004438308,0.594066282
Rpusd4,0.004664019,0.004155776,-0.357150924
Yipf6,0.004664602,0.004268821,0.355302478
Nsmaf,0.004666237,0.004045618,0.405175963
Lemd2,0.004677556,0.00288887,0.314002073
Gm15564,0.004689254,0.004065573,-0.590445297
Mrpl21,0.004692592,0.002863094,-0.304610764
Elf1,0.004697574,0.002913622,-0.325528238
Efcab12,0.004708216,0.007282361,-1.315179836
Szrd1,0.004722126,0.004504349,-0.350402445
Tmed9,0.004722725,0.002891624,-0.540399966
Acaca,0.004731304,0.00600523,0.638845264
Tcrg-V6,0.004733365,0.00706145,1.183815398
Dck,0.004740424,0.004339891,-0.661429555
Grn,0.004740497,0.004621681,0.974220929
Ndufaf6,0.004738827,0.004694251,-0.517583009
Prkd2,0.004742126,0.004111413,-0.417866324
Atp5g3,0.004773613,0.002922781,-0.356610485
Ccdc136,0.004780219,0.013061053,1.455483855
Strn,0.004782148,0.004376394,0.441515235
Tmed1,0.004783188,0.004908232,0.641407576
Champ1,0.004799264,0.004393759,-0.307487576
Pgghg,0.004812305,0.004691689,0.510554094
Glud1,0.004816152,0.002987168,0.390332044
Gm11769,0.004834956,0.004961353,-0.718114096
S1pr4,0.004847282,0.005628851,-0.475698996
Rps15a-ps4,0.004848794,0.004975553,-0.60301544
Cd47,0.00486243,0.004215717,0.372808856
Noc4l,0.004861268,0.006269277,-0.307473142
Adcy1,0.004868926,0.008006743,-1.384914082
Men1,0.004893923,0.004550852,-0.439025828
Klhl8,0.004901767,0.006248159,0.481831846
Ubr3,0.00491069,0.00370336,0.344556692
Camsap1,0.004914803,0.003852641,0.385556853
Abhd5,0.004933258,0.00480961,0.381122175
Gm26815,0.004937398,0.008413713,0.779391725
Gm33782,0.004949535,0.005078927,0.68598753
Mthfd2l,0.004953357,0.004146141,0.535692958
Noxo1,0.004953404,0.006860052,0.822005374
Atp6v1g2,0.004963785,0.004154869,0.756131801
Set,0.004977339,0.003047519,-0.274239822
Churc1,0.005004601,0.005135432,-0.494565262
Stx3,0.005007429,0.004191401,0.745370853
Cep104,0.005024359,0.004598054,0.462297877
Zfp940,0.005037156,0.005168839,-0.584426104
Map4k5,0.005052139,0.005004615,-0.591565523
Tsnax,0.005053552,0.004807922,-0.329226095
Nr1d2,0.005059151,0.004704498,0.57216989
Car5b,0.005097968,0.005050013,1.329371206
Caskin2,0.0051243,0.006504043,0.612679319
Gfpt1,0.005130795,0.005002196,0.376662277
Prrc2b,0.00513889,0.003146433,0.444742495
Nfic,0.005151341,0.005059208,0.396924896
Tmem120b,0.005168153,0.005303261,-0.723582675
Vmn2r97,0.005180347,0.005131617,-0.50028458
Mier2,0.005192541,0.004751966,-0.350833829
Rbfa,0.005202485,0.004078151,-0.346042082
Urb2,0.005201203,0.004077146,-0.456001765
Glmp,0.005210123,0.00496984,0.322231154
Lztfl1,0.005208579,0.006639244,-0.656438578
Pdlim5,0.005208403,0.0049682,0.334560201
Cdca7l,0.005216205,0.00464779,-0.337913974
AC140469.1,0.005227933,0.00779927,-1.139830229
Foxf1,0.005240295,0.004386319,1.423807218
Map4k2,0.005241029,0.003250694,-0.349788734
Memo1,0.005241516,0.005110142,-0.3342901
Bscl2,0.005249872,0.006770435,0.336818469
Gpd1l,0.005260525,0.005004836,-0.533266209
Zfp142,0.005299073,0.004844115,0.434675848
Nol8,0.005303626,0.00399969,-0.254385896
Ywhag,0.005316953,0.005071743,0.403543385
Zfp715,0.005320819,0.005225654,0.335342926
Rae1,0.005332793,0.004958957,-0.300084776
Hid1,0.005351195,0.003319023,0.239595849
Elf4,0.005355392,0.004643113,0.388719361
Hspa13,0.005366009,0.005292539,0.463454026
Tmbim1,0.005371363,0.005297821,1.194379446
Zfpm1,0.00538479,0.004060899,-0.45461027
Kremen1,0.005389806,0.004802474,-0.465957424
Tuba1a,0.005393275,0.006262879,-0.409934575
D730045B01Rik,0.005397199,0.008348036,1.240265713
Sfpq,0.005405436,0.003428792,-0.395136953
Dclre1b,0.005415753,0.005557333,0.442871219
Emc2,0.005433096,0.00518253,0.350036425
Mrrf,0.005433317,0.005919347,-0.535455841
Mrpl34,0.005442282,0.005391088,-0.453934873
Hnrnpa3,0.005469637,0.005217386,-0.355252468
Tigit,0.005487511,0.003348098,0.894750073
Utp14a,0.005491398,0.004892996,-0.38607699
1700018A23Rik,0.005569522,0.008614574,-1.138896276
Gm15500,0.00557182,0.00607024,-0.710408353
Fktn,0.005576392,0.005523937,0.774466616
Erp44,0.005597823,0.00533966,0.291637095
1810037I17Rik,0.005604198,0.007227388,0.356061646
Tom1,0.005609419,0.005756063,0.426879774
Stk40,0.005628722,0.005355136,0.332166052
Gm31024,0.005638903,0.006143324,-0.674403318
Gm44292,0.005677248,0.005623844,-0.600416197
Gdi2,0.005678938,0.004923627,0.275501493
Trappc4,0.005682928,0.004285738,0.324405137
Parp3,0.005684857,0.00542268,-0.524961398
Ralgapa1,0.005696223,0.005419356,0.313697515
Ppp1r15a,0.005707841,0.003525176,-0.370811278
Lipo3,0.005712457,0.007250564,0.592393823
Tram1,0.005711911,0.004952214,0.280314349
Ids,0.00571556,0.007371003,0.551342557
Diaph3,0.00573662,0.005886589,0.770578925
Gm26819,0.005744429,0.005472209,0.606830753
Manea,0.005754976,0.005700841,0.452027518
Pex6,0.00575367,0.00548832,-0.298303854
Bbs4,0.005776972,0.005673649,0.465285142
Suclg2,0.005783002,0.004533209,-0.368285912
Sp4,0.005795188,0.003535821,0.477634298
Kyat1,0.005813231,0.007409978,-0.514258195
Phb,0.00582802,0.007516037,-0.274551831
C230066G23Rik,0.005843561,0.015966436,0.905653468
Hgh1,0.005855414,0.003572567,-0.357601487
Mapre3,0.005856688,0.006380591,0.456865081
4930549P19Rik,0.005869558,0.008877084,1.117321199
Cep131,0.005873226,0.007454621,-0.525331412
