,neg1,neg2,neg3,neg4,neg5,pos1,pos2,pos3,pos4,pos5
Xkr4,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,0
Sox17,1,1,0,0,0,0,0,0,0,3
Mrpl15,66,52,101,75,26,91,68,150,28,120
Lypla1,506,395,512,290,225,511,303,405,300,563
Tcea1,37,30,72,44,29,48,29,62,22,46
Rgs20,0,0,0,0,0,0,0,0,0,0
Atp6v1h,293,345,595,119,259,442,136,239,188,379
Oprk1,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0
Rb1cc1,15,38,48,18,8,50,20,47,11,50
Fam150a,0,0,0,0,0,0,0,0,0,0
St18,0,0,0,0,0,0,0,0,0,0
Pcmtd1,110,68,85,29,8,56,23,36,18,114
Sntg1,0,0,0,0,0,0,0,0,0,0
Rrs1,102,72,36,57,31,87,42,75,31,132
Adhfe1,0,0,0,0,0,1,0,0,0,0
2610203C22Rik,0,0,0,0,0,0,0,0,0,0
3110035E14Rik,0,0,0,0,0,0,0,0,0,0
Mybl1,0,11,0,0,0,0,0,0,0,0
Vcpip1,17,155,59,18,15,86,29,68,14,83
1700034P13Rik,0,0,0,0,0,0,0,0,0,0
Sgk3,3,0,19,8,0,30,28,17,20,64
Mcmdc2,0,0,0,0,0,1,0,0,0,0
Snhg6,48,47,127,38,87,120,69,113,33,134
Snord87,1,0,0,0,0,1,0,0,0,0
Ppp1r42,0,0,0,0,0,0,0,0,0,0
Cops5,22,14,33,44,30,57,21,101,33,58
Cspp1,2,14,66,29,34,65,28,29,16,45
Arfgef1,139,106,127,55,63,112,69,115,76,97
Cpa6,0,0,0,0,0,0,0,0,0,0
Mir467e,0,0,0,0,0,0,0,0,0,0
Prex2,10,17,21,13,13,26,20,42,14,52
A830018L16Rik,1,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0
Sulf1,0,0,0,0,0,0,0,0,0,0
Slco5a1,0,0,0,0,0,0,0,0,0,2
Prdm14,0,0,0,0,0,0,0,0,0,0
Ncoa2,43,116,45,68,56,82,53,65,28,108
Tram1,588,886,1007,540,510,855,515,711,366,882
Lactb2,0,21,0,13,28,48,5,20,7,13
Xkr9,0,0,0,0,0,0,0,0,0,0
Gm5523,1,1,3,2,2,2,0,1,2,5
Eya1,0,0,0,0,0,0,0,0,0,0
Msc,0,0,0,0,0,1,0,9,0,6
Trpa1,0,0,0,0,0,0,0,1,0,0
Kcnb2,0,0,0,0,0,0,0,0,2,0
Terf1,42,56,88,55,28,35,19,14,12,31
Sbspon,0,0,0,0,0,0,0,0,0,0
4930444P10Rik,0,0,0,0,0,0,0,0,0,0
Rpl7,23,1,44,17,5,55,22,29,22,37
Rdh10,12,1,13,9,7,11,11,34,9,7
Stau2,0,0,4,0,0,0,1,0,0,0
Ube2w,36,72,66,39,50,68,24,56,15,40
Tceb1,272,228,286,229,119,290,130,238,125,273
D030040B21Rik,0,0,3,0,0,0,0,0,0,0
Tmem70,23,46,114,22,1,93,38,81,19,70
Ly96,1,0,0,0,0,0,3,1,4,3
Jph1,0,0,0,0,0,0,0,0,0,0
Gdap1,0,0,0,0,0,0,0,0,0,0
Pi15,0,0,0,0,0,0,0,0,0,0
Crispld1,0,0,0,0,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0,0,0,0,0
Defb18,0,0,0,0,0,0,0,0,0,0
Defb41,0,0,0,0,0,0,0,0,0,0
Gm15386,0,0,0,0,0,0,0,0,0,0
Tfap2d,0,0,0,0,0,0,2,0,0,0
Tfap2b,0,0,0,0,0,0,0,0,0,0
Pkhd1,0,0,0,0,0,0,0,0,0,0
4930486I03Rik,0,0,0,0,0,0,0,0,0,0
Mir206,0,0,0,0,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0,0,0,0,0
Il17a,0,0,0,4,0,0,0,19,0,0
Il17f,0,0,0,0,0,0,4,0,0,0
Mcm3,61,82,61,52,68,81,22,109,44,97
6720483E21Rik,0,0,0,0,0,0,0,0,0,0
Paqr8,0,1,1,0,0,15,18,11,0,1
Efhc1,0,0,0,0,0,3,0,0,0,0
Tram2,20,0,0,0,21,0,0,3,0,0
Tmem14a,14,0,2,0,11,0,6,15,4,0
Gsta3,0,6,0,0,0,0,1,0,0,5
Gm4956,16,0,9,0,20,0,1,7,0,2
Khdc1a,0,0,0,0,0,0,0,0,0,0
Khdc1c,0,0,0,0,0,0,0,0,0,0
Khdc1b,0,0,0,0,0,0,0,0,0,0
Kcnq5,0,0,0,15,0,1,0,25,0,11
Rims1,0,0,0,0,0,0,0,0,0,0
4933415F23Rik,0,0,0,0,0,0,0,0,0,0
Mir30a,0,0,0,0,0,0,0,0,0,0
Mir30c-2,0,0,0,0,0,0,0,0,0,0
Ogfrl1,2,51,76,36,0,19,0,39,20,36
B3gat2,0,0,0,5,0,11,1,0,2,5
Smap1,57,110,176,52,60,108,63,158,73,99
1110058L19Rik,38,37,44,106,73,121,64,103,43,123
Fam135a,0,0,0,0,0,0,0,0,0,0
Col9a1,0,0,0,0,0,0,0,0,0,0
Col19a1,0,0,0,0,0,0,0,0,0,0
Lmbrd1,235,145,219,47,5,144,51,41,38,132
Bai3,0,0,0,0,0,0,0,0,0,0
Gm20172,0,0,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0,0,0
Gm597,0,0,0,0,0,0,0,0,0,0
Phf3,59,139,177,89,70,136,117,168,55,155
Ptp4a1,13,29,31,4,23,29,4,30,2,44
Gm13363,0,0,0,0,0,0,0,0,0,0
4931428L18Rik,0,0,0,0,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,0,0,0,0,0,0
Khdrbs2,0,0,0,0,0,0,0,0,0,0
Gm9839,0,0,0,0,0,0,0,0,0,0
Gm5415,0,0,0,0,0,0,0,0,0,0
Prim2,0,14,6,37,4,17,10,67,1,41
1700001G17Rik,0,0,0,0,0,2,3,1,0,5
Rab23,8,19,15,1,1,8,9,10,3,9
Bag2,0,82,40,14,0,28,6,38,17,17
Zfp451,93,38,26,7,0,15,18,23,3,17
Gm15455,3,6,4,2,2,5,1,10,2,3
Bend6,0,0,0,4,0,0,3,4,0,3
Dst,0,0,14,0,1,16,0,0,0,0
Mir5103,0,0,0,0,0,0,0,0,0,0
Ccdc115,106,34,126,92,38,123,54,130,78,131
Imp4,222,128,134,149,115,137,105,163,64,187
Ptpn18,113,181,335,288,151,500,300,619,280,546
Prss39,0,0,0,0,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0,0,0,0,0
Prss40,0,0,0,0,0,0,0,0,0,0
Amer3,0,0,0,0,0,0,0,0,0,0
AA619741,0,0,0,0,0,0,0,0,0,0
Arhgef4,0,8,9,12,10,32,13,21,0,8
Fam168b,229,281,405,224,214,210,195,308,112,323
Plekhb2,328,221,293,205,70,145,58,160,78,74
Hs6st1,27,53,191,25,7,45,38,75,20,56
Uggt1,160,86,129,118,89,179,106,216,38,267
Neurl3,434,435,463,213,227,261,205,528,154,539
Arid5a,174,146,207,62,123,152,80,214,83,229
Kansl3,38,103,101,41,13,71,47,127,30,84
Lman2l,39,42,49,27,27,26,36,23,32,27
Cnnm4,68,40,212,14,10,63,16,18,9,51
Cnnm3,50,100,98,104,38,86,80,48,65,64
Ankrd23,0,0,0,0,4,0,0,0,0,0
Ankrd39,25,6,7,18,24,10,3,7,21,10
Sema4c,9,1,13,0,0,0,1,3,0,6
Fam178b,0,0,0,0,0,0,0,0,0,0
Cox5b,161,73,141,82,86,156,80,171,36,164
Actr1b,24,17,50,24,2,50,17,14,2,50
4933424G06Rik,0,18,0,0,0,0,0,0,0,0
Zap70,760,637,1027,604,401,567,444,1046,390,1030
Tmem131,28,29,54,15,4,32,22,24,4,37
Cnga3,0,0,0,0,0,0,0,0,0,0
Inpp4a,61,147,82,38,23,23,21,12,31,69
Coa5,128,183,149,122,58,205,123,179,75,228
Unc50,133,104,99,63,106,103,19,25,45,108
Mgat4a,30,96,49,31,11,42,16,40,12,59
4930594C11Rik,0,0,7,0,0,1,0,0,5,0
2010300C02Rik,7,25,21,15,0,11,5,14,13,11
Tsga10,0,0,0,0,0,0,0,8,0,0
Lipt1,0,0,0,0,0,6,5,12,0,9
Mitd1,77,46,108,87,56,81,33,87,27,83
Mrpl30,73,45,124,66,73,92,66,150,88,149
Lyg2,0,0,0,0,0,0,0,0,0,0
Lyg1,0,0,0,0,0,0,0,0,0,0
Txndc9,95,78,280,122,116,155,87,223,71,289
Eif5b,384,593,386,140,73,315,269,527,203,574
Rev1,0,0,0,0,0,0,0,6,0,0
Aff3,0,18,14,0,13,42,34,79,26,99
Lonrf2,0,0,0,0,0,0,0,0,0,0
Chst10,16,57,87,32,0,37,35,56,43,66
Nms,0,0,0,0,0,0,0,0,0,0
Pdcl3,162,124,118,106,82,121,50,85,65,147
Npas2,0,0,0,0,0,0,0,0,0,0
Rpl31,13,74,39,37,31,107,32,120,52,94
Tbc1d8,0,0,15,6,0,1,7,24,0,3
Cnot11,35,78,21,3,13,19,14,37,39,41
Snord89,0,0,0,0,0,0,0,0,0,0
Rnf149,177,189,257,156,141,99,38,218,54,181
Creg2,0,0,0,0,0,0,0,0,0,0
Rfx8,0,0,0,0,0,0,0,0,0,0
Gm3646,0,0,0,0,0,0,0,0,0,0
1700066B17Rik,0,0,0,0,0,0,0,0,0,0
Map4k4,222,50,380,104,119,337,211,231,166,407
Gm16894,0,0,0,0,0,0,0,0,2,0
Il1r2,0,0,0,3,0,0,1,1,0,3
Il1r1,0,0,0,0,7,4,0,0,8,0
Il1rl2,0,0,0,0,0,0,0,0,0,0
Il1rl1,0,4,0,0,3,7,0,6,0,2
Il18r1,158,151,105,47,71,101,57,77,52,113
Il18rap,1,5,28,4,4,6,3,1,2,13
Slc9a4,0,0,0,0,0,0,0,0,0,0
Slc9a2,0,0,0,0,0,0,0,0,0,0
Mfsd9,0,0,0,0,0,1,0,0,0,3
Tmem182,0,0,0,0,0,0,0,0,0,0
4930448I06Rik,0,0,0,0,0,0,0,0,0,0
2610017I09Rik,0,0,0,0,0,0,0,0,0,0
Pou3f3,0,0,0,0,0,0,0,0,0,0
2900092D14Rik,0,0,0,0,1,0,0,0,0,0
Mrps9,91,121,62,30,51,63,32,42,26,79
Gpr45,0,0,0,0,0,0,0,0,0,0
Tgfbrap1,74,74,46,45,30,50,63,32,17,198
AI597479,0,20,23,19,33,16,6,34,9,22
Fhl2,0,45,41,15,4,52,22,81,21,35
Nck2,22,18,5,11,55,29,30,44,16,26
1500015O10Rik,0,0,0,0,0,2,0,0,0,0
Uxs1,0,1,0,0,0,0,0,0,0,0
Tpp2,89,261,416,132,126,208,110,219,168,338
Mettl21c,0,0,0,0,0,0,0,0,0,0
Tex30,125,166,107,116,135,255,108,178,120,349
Kdelc1,32,20,41,12,0,8,2,6,9,10
Bivm,20,123,0,70,0,12,22,43,16,58
Ercc5,33,32,22,25,47,26,39,35,34,55
Mettl21e,0,0,0,0,0,0,0,0,0,0
Gulp1,0,0,0,0,0,0,0,0,0,0
4930521E06Rik,0,0,0,0,0,0,0,0,0,0
Col3a1,1,0,0,0,0,0,0,1,0,9
Col5a2,0,0,0,0,0,0,0,0,0,0
Wdr75,29,54,35,11,32,65,55,72,18,48
Slc40a1,0,0,0,0,0,0,0,0,0,0
Gm4776,0,0,0,0,0,0,0,0,0,0
Dnahc7b,0,0,0,0,0,0,0,0,0,0
Slc39a10,22,37,7,18,5,16,3,1,0,8
Tmeff2,0,0,0,0,0,0,0,0,0,0
9330175M20Rik,0,0,0,0,0,0,0,0,0,0
Sdpr,0,0,0,0,0,0,0,0,0,0
Nabp1,195,68,417,68,6,257,55,178,129,303
Myo1b,1,0,0,0,0,0,0,0,0,0
Stat4,37,34,42,14,56,53,56,99,35,86
Stat1,326,245,354,189,165,260,154,382,130,389
Gls,326,202,330,156,230,341,126,282,146,417
Nab1,105,148,191,84,64,136,88,135,52,141
Tmem194b,52,14,18,22,13,39,7,17,1,48
Mfsd6,50,57,138,28,46,72,21,40,26,49
Inpp1,3,26,12,13,0,32,15,24,14,55
Hibch,54,13,13,36,36,39,27,43,7,25
1700019D03Rik,0,9,7,0,0,0,0,1,0,0
Mstn,0,0,0,0,0,0,0,0,0,0
1700019A02Rik,0,0,0,0,0,0,0,0,0,0
Pms1,6,19,5,4,4,24,24,19,1,17
Ormdl1,68,64,69,22,39,49,7,51,18,54
Osgepl1,2,0,4,0,2,3,3,0,1,4
Asnsd1,44,77,132,90,42,79,30,84,44,119
Dnahc7a,0,0,0,0,0,0,0,0,0,0
Stk17b,1218,1227,1922,1143,803,1467,824,1451,560,1990
Hecw2,0,0,4,0,0,0,0,2,1,0
Ccdc150,0,0,0,0,0,0,0,0,0,0
Gtf3c3,0,9,2,0,2,1,2,2,0,10
Pgap1,11,0,8,2,0,11,12,5,0,12
Ankrd44,207,201,57,72,92,193,101,162,109,273
Sf3b1,755,773,874,377,307,924,525,781,382,1058
Coq10b,56,89,109,82,30,64,24,123,54,108
Hspd1,252,287,271,131,103,248,124,193,76,210
Hspe1,1026,792,1267,570,637,1733,911,1379,380,1725
Mob4,145,149,126,105,79,165,130,202,81,172
Rftn2,0,2,1,0,0,1,3,0,3,0
Mars2,2,43,80,22,16,23,13,68,21,78
Boll,0,0,0,2,0,0,0,1,0,0
Plcl1,0,0,0,0,0,2,0,0,0,0
9130227L01Rik,0,0,0,0,0,0,0,0,0,0
Hsfy2,0,0,0,0,0,0,0,0,0,0
Satb2,0,0,0,0,0,0,0,0,0,0
9130024F11Rik,0,0,0,0,0,15,0,0,0,0
BC055402,0,0,0,0,0,0,0,0,0,0
4930558J18Rik,0,0,0,0,0,0,2,0,0,0
1700066M21Rik,0,16,0,3,0,12,0,14,0,0
Tyw5,12,31,17,13,34,58,12,50,13,36
9430016H08Rik,57,19,151,41,14,42,67,103,39,136
Spats2l,0,0,0,0,0,0,0,0,0,0
Kctd18,5,0,4,7,20,19,10,25,16,24
Sgol2,21,20,0,0,0,17,15,38,0,8
Aox1,0,0,0,0,0,0,0,0,0,0
Aox3,0,0,0,0,0,0,0,0,0,0
Aox4,0,0,0,0,0,0,0,0,0,0
Aox3l1,0,0,0,0,0,0,0,2,0,0
Bzw1,129,189,169,74,64,137,80,128,51,159
Clk1,297,305,384,182,184,414,163,408,143,475
Ppil3,28,51,2,27,21,45,24,56,29,69
Nif3l1,40,21,30,41,18,20,10,29,20,30
Orc2,49,4,32,13,61,57,17,33,7,39
Fam126b,40,65,29,13,43,28,24,21,32,44
Ndufb3,239,131,215,167,144,182,151,257,98,256
Gm20257,0,0,0,18,0,10,0,5,5,16
Als2cr12,0,0,0,0,0,0,0,0,0,0
Cflar,382,345,401,233,161,202,97,316,221,267
Casp8,47,21,65,69,26,115,102,77,82,148
Trak2,57,63,18,25,18,32,22,44,5,73
Stradb,5,5,0,22,6,12,4,28,9,12
Als2cr11,0,0,0,0,0,0,0,1,0,0
Tmem237,0,19,11,0,5,35,5,13,15,22
Mpp4,0,0,0,0,0,0,0,0,0,0
Als2,1,0,0,6,12,5,5,1,11,2
Cdk15,0,0,0,0,0,0,0,0,0,0
Fzd7,0,0,0,0,0,2,9,2,0,5
Gm973,0,0,0,0,0,0,0,0,0,0
Sumo1,69,81,104,54,28,133,73,143,46,114
Nop58,158,160,105,118,31,129,100,174,54,202
Snord70,0,0,0,0,0,0,0,0,0,0
Snord11,0,0,0,0,0,0,0,0,0,0
Bmpr2,1,0,0,0,0,0,2,0,0,0
Fam117b,188,225,214,103,59,199,198,291,26,262
Ica1l,0,0,0,0,0,0,0,0,0,1
Wdr12,1,6,4,14,4,2,15,7,7,16
Carf,0,0,0,0,0,5,0,0,0,1
Nbeal1,0,29,1,5,0,12,10,16,0,13
Cyp20a1,0,12,0,0,0,1,0,0,0,0
Abi2,14,67,49,64,17,41,15,37,8,16
Raph1,6,0,114,25,0,39,4,35,7,3
Cd28,364,391,447,250,302,474,326,444,173,409
Ctla4,118,157,374,111,80,90,40,131,44,122
Icos,760,435,909,500,359,518,459,878,316,794
9530026F06Rik,0,0,0,0,0,0,0,0,0,0
Pard3b,0,0,0,0,0,0,0,0,0,2
Nrp2,0,4,2,0,0,47,22,35,12,76
4930487H11Rik,0,0,0,0,0,0,0,0,0,0
Ino80d,29,76,59,49,1,34,30,46,18,74
Gm11602,8,10,0,0,0,1,0,1,0,2
Ndufs1,281,142,458,170,315,228,173,279,176,308
Eef1b2,1678,1798,2480,1605,1207,4096,2901,6118,1811,5633
Snora41,0,0,0,0,0,0,0,0,0,0
Gpr1,0,0,0,0,0,0,0,0,0,0
Zdbf2,0,0,0,0,1,0,0,0,0,8
Adam23,0,0,0,0,0,0,0,0,0,0
Dytn,0,0,0,0,0,0,0,0,0,0
Mdh1b,0,0,0,0,0,0,0,0,0,0
Fastkd2,15,12,53,2,4,19,6,19,7,18
4933402D24Rik,0,0,0,0,0,0,0,0,0,0
Gm13749,0,0,0,0,0,0,0,0,0,0
Mir1958,0,0,0,0,0,0,0,0,0,0
Klf7,45,81,71,6,4,33,40,105,26,114
Creb1,80,183,143,93,62,155,96,148,66,176
Mettl21a,26,1,8,6,0,18,5,10,6,14
2810408I11Rik,0,0,0,0,0,15,4,38,0,13
Ccnyl1,23,3,22,0,54,3,3,0,1,3
Fzd5,11,59,88,35,29,25,12,19,8,14
Plekhm3,0,1,23,25,0,18,9,12,0,23
Akr1cl,0,0,0,0,0,0,0,0,0,0
Cryge,0,0,0,0,0,0,0,0,0,0
Crygd,0,0,0,0,0,0,0,0,0,0
Crygc,0,0,0,0,0,0,0,0,0,0
Crygb,0,0,0,0,0,0,0,0,0,0
Cryga,0,0,0,0,0,0,0,0,0,0
D630023F18Rik,0,0,0,0,0,0,0,0,0,0
Idh1,15,14,0,4,10,22,3,13,14,14
Pikfyve,12,1,20,38,0,39,7,16,35,77
Pth2r,0,0,0,0,0,0,0,0,0,0
Crygf,0,0,0,0,0,0,0,0,0,0
Map2,0,0,3,1,0,0,0,18,0,1
Unc80,0,0,0,0,0,0,0,0,0,0
Rpe,11,3,7,20,1,37,8,28,3,37
Kansl1l,0,0,0,8,0,15,13,0,0,2
Acadl,241,260,310,189,284,125,71,227,114,190
Myl1,0,0,0,0,0,15,1,15,1,12
Lancl1,126,32,89,75,46,53,35,77,27,69
Cps1,0,0,0,0,0,0,0,0,0,0
Erbb4,0,0,0,0,0,0,0,8,0,0
Ikzf2,96,55,96,45,22,117,43,173,26,255
Spag16,0,0,0,0,0,0,0,0,0,0
Vwc2l,0,0,0,0,0,0,0,0,0,0
Bard1,0,0,40,8,23,11,12,25,4,13
Abca12,0,4,0,0,0,0,0,0,0,0
Atic,32,39,11,4,19,41,29,50,6,56
Fn1,0,2,0,2,0,0,0,0,0,0
Apol7d,0,0,0,0,0,0,0,0,0,0
Gm8883,0,0,0,0,0,0,0,0,0,0
4933417E11Rik,0,0,0,0,0,0,0,0,0,0
Mreg,0,0,10,3,0,0,0,0,0,1
Pecr,16,0,0,3,0,3,8,7,7,14
Tmem169,0,0,0,0,0,0,0,0,0,0
Xrcc5,24,38,29,23,4,35,22,42,4,31
4-Mar,0,0,0,0,0,0,0,0,0,0
Smarcal1,0,23,16,10,0,15,7,22,6,10
Ankar,0,0,0,0,0,0,0,0,0,0
Rpl37a,107,46,252,70,99,187,202,249,110,355
Igfbp2,0,0,0,0,0,0,0,0,0,0
Igfbp5,0,0,0,0,0,0,0,0,0,0
Tnp1,0,0,0,0,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0,0,0,0,0
Pinc,0,0,0,0,0,0,0,0,0,0
D530049I02Rik,0,0,0,0,0,0,0,0,0,0
6030407O03Rik,0,0,0,0,0,0,0,0,0,0
Tns1,0,26,8,0,0,11,3,19,0,15
Rufy4,0,0,0,0,0,0,0,0,0,0
Cxcr2,0,0,0,0,0,1,0,0,0,0
Cxcr1,0,0,0,0,0,0,0,0,0,0
Arpc2,3107,2221,4167,2136,1544,2919,1894,3525,1380,4103
Gpbar1,0,0,0,2,0,1,0,1,6,0
Aamp,250,343,201,175,172,342,194,296,142,325
Pnkd,6,2,78,18,1,33,4,59,6,28
Tmbim1,4,5,26,3,10,3,4,6,7,10
Gm216,0,0,0,0,0,0,0,0,7,0
Slc11a1,0,0,1,0,0,2,0,0,0,2
Ctdsp1,116,147,67,59,61,77,56,131,48,123
Mir26b,0,0,0,0,0,0,0,0,1,0
Vil1,0,0,0,0,0,0,0,0,0,0
Usp37,12,13,13,4,15,17,14,24,1,20
Rqcd1,60,76,87,25,31,50,34,21,30,48
Plcd4,0,4,0,0,0,0,0,0,11,5
Zfp142,133,66,26,28,31,57,23,18,24,61
Bcs1l,2,8,14,13,0,7,2,21,17,16
Rnf25,4,8,3,1,4,0,3,3,2,5
Stk36,0,0,0,0,0,1,0,0,0,0
Ttll4,0,0,0,4,0,1,2,0,0,2
Cyp27a1,0,0,0,0,0,0,0,0,2,0
Prkag3,0,0,0,0,0,0,0,0,0,0
Wnt6,0,0,0,0,0,0,0,0,0,0
Wnt10a,0,0,0,2,0,0,0,0,0,0
Cdk5r2,0,0,0,0,0,2,0,0,0,0
Fev,0,0,0,0,0,0,0,0,0,0
Cryba2,0,0,0,0,0,0,0,0,0,0
Mir375,0,0,0,0,0,0,0,0,0,0
Ccdc108,0,0,0,0,0,0,0,0,0,0
Ihh,0,0,0,0,0,0,5,0,0,0
Nhej1,5,0,0,1,0,1,2,6,0,3
Slc23a3,0,0,0,0,0,0,0,5,0,0
Cnppd1,354,425,323,208,351,373,276,334,227,547
Fam134a,39,42,48,47,42,24,18,48,18,52
Zfand2b,11,2,23,15,1,22,13,18,13,20
Abcb6,4,9,0,0,4,3,2,6,2,0
Atg9a,6,15,18,6,12,6,5,12,2,10
Ankzf1,0,0,0,13,0,1,1,0,0,9
Glb1l,0,0,0,0,0,0,0,0,0,1
Stk16,13,37,86,25,7,62,25,67,33,70
Tuba4a,141,162,172,153,98,172,87,192,70,184
A630095N17Rik,0,0,0,0,0,0,0,0,0,0
Dnajb2,11,13,20,17,3,16,15,24,11,13
Ptprn,0,0,0,0,0,10,4,0,0,0
Resp18,0,0,0,0,0,0,0,0,0,0
Dnpep,12,3,17,16,27,21,11,17,20,27
Des,0,0,0,0,0,0,0,0,0,0
Gm15179,0,0,0,0,0,0,0,0,0,0
Speg,0,0,0,0,0,0,0,0,0,0
Gmppa,5,10,3,22,7,6,2,21,4,18
Asic4,0,0,0,0,0,0,0,0,0,0
Chpf,19,42,122,84,49,54,47,101,24,114
Tmem198,0,0,1,3,0,0,1,15,8,16
Obsl1,0,0,0,0,0,0,0,0,0,0
Inha,0,0,0,0,0,0,0,0,0,0
Stk11ip,18,10,14,19,43,25,14,43,11,18
Slc4a3,0,0,0,0,0,0,0,0,0,0
Gm17751,0,0,0,0,0,0,0,0,0,0
Epha4,0,0,0,0,0,0,0,0,0,0
Pax3,0,0,0,0,0,0,0,0,0,0
Sgpp2,0,0,0,0,0,4,0,1,7,0
Farsb,408,161,293,129,84,211,153,315,88,201
Mogat1,0,0,0,0,0,5,0,0,0,1
Acsl3,6,0,0,0,0,3,1,0,0,8
Utp14b,0,0,0,0,0,3,0,10,0,0
Kcne4,0,0,0,0,0,0,0,0,0,0
Scg2,0,0,0,0,0,0,0,0,0,0
Ap1s3,37,31,24,17,0,28,24,26,27,50
Wdfy1,124,179,85,29,89,138,64,83,25,134
Mrpl44,30,26,30,13,25,39,42,33,14,62
Serpine2,0,7,0,1,0,0,1,0,0,5
Fam124b,0,0,0,0,0,0,2,0,0,0
Cul3,92,113,120,73,55,85,64,150,75,131
1700016L21Rik,0,0,0,0,0,0,0,0,0,0
Dock10,316,411,405,324,124,537,146,417,270,666
Nyap2,0,0,0,0,0,0,0,0,0,0
Irs1,0,0,0,0,0,0,0,0,0,0
Rhbdd1,71,15,37,3,38,24,29,19,23,44
Col4a4,0,18,0,0,0,1,0,0,0,0
Col4a3,0,0,0,0,0,0,0,0,0,16
Mff,100,354,314,311,151,305,164,309,188,443
Tm4sf20,0,0,0,0,0,0,0,0,0,3
Agfg1,151,146,144,123,96,157,45,111,89,217
Slc19a3,0,0,0,0,0,0,0,0,0,0
Ccl20,0,0,0,0,0,0,0,0,0,0
Wdr69,0,0,0,0,0,0,0,0,0,0
Sphkap,0,0,0,0,0,0,0,0,0,0
Pid1,0,0,0,0,0,0,0,5,0,4
Dner,0,0,0,0,0,0,0,0,0,0
Mir5126,0,0,0,0,0,0,0,0,0,0
Trip12,191,260,178,149,134,252,170,275,134,402
Fbxo36,0,0,0,0,0,0,0,0,0,2
Slc16a14,0,0,0,0,0,0,0,0,0,0
A530032D15Rik,0,0,7,0,0,1,0,0,0,0
Gm7609,0,0,0,0,0,0,0,0,0,0
C130026I21Rik,0,0,0,0,0,0,0,0,0,0
Sp110,49,51,44,22,23,37,24,58,62,82
Sp140,74,76,104,25,19,89,71,128,21,78
Sp100,59,58,19,14,34,29,16,31,20,53
A630001G21Rik,85,18,37,52,0,70,49,104,27,76
Cab39,102,184,368,188,131,204,154,188,109,290
Itm2c,463,149,476,400,179,313,183,323,200,421
4933407L21Rik,0,0,0,0,0,0,0,0,0,0
Gpr55,0,0,0,2,34,0,0,1,0,1
Spata3,0,0,0,0,0,0,0,0,0,0
2810459M11Rik,0,0,0,0,0,0,0,0,1,0
Psmd1,164,222,252,115,104,111,118,223,82,208
Htr2b,0,0,0,0,0,0,0,0,0,0
Armc9,0,0,0,9,0,7,3,0,1,3
B3gnt7,3,0,10,8,0,18,0,0,10,5
Ncl,652,713,648,481,422,659,455,956,418,777
Snora75,0,0,0,0,0,0,0,0,0,0
Snord82,0,0,0,0,0,0,0,0,0,0
C130036L24Rik,0,0,1,0,0,1,1,1,0,2
Nmur1,0,0,0,0,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0,0
Ptma,514,495,834,438,351,685,399,694,275,850
Pde6d,104,163,303,96,22,219,102,186,89,218
Cops7b,1,0,40,14,1,43,8,19,13,65
Nppc,0,0,0,0,0,0,0,6,0,0
Dis3l2,7,0,5,8,4,7,3,13,7,8
Alppl2,0,0,0,0,0,0,0,0,0,0
Alpi,0,0,0,0,0,0,0,0,0,0
Akp3,0,0,0,0,0,0,0,0,0,0
Ecel1,0,0,0,0,0,0,0,0,0,0
Prss56,0,0,0,0,0,0,0,0,0,0
Chrnd,0,0,0,0,0,0,0,0,0,0
Chrng,0,0,0,0,0,0,0,0,0,0
Eif4e2,109,116,160,145,80,151,124,264,89,188
Efhd1,0,0,0,0,0,0,0,0,0,0
Gigyf2,48,37,23,7,16,13,5,21,4,8
Kcnj13,0,0,0,0,0,0,0,0,0,0
3110079O15Rik,0,0,0,0,0,0,0,0,0,0
Ngef,0,0,0,1,0,0,0,0,0,0
Neu2,0,0,0,0,0,0,0,0,0,0
Inpp5d,239,186,152,180,64,128,84,168,61,160
Atg16l1,32,121,42,34,17,55,23,27,18,54
Scarna6,0,0,0,0,0,0,0,0,0,0
Sag,8,10,6,0,0,1,2,0,0,4
Dgkd,177,106,256,47,94,163,94,164,36,230
Usp40,27,0,34,5,0,13,0,28,20,29
Ugt1a10,0,0,0,0,0,0,0,0,0,0
Ugt1a9,0,0,0,0,0,0,0,0,0,0
Ugt1a7c,0,0,0,0,0,0,0,0,0,0
Ugt1a6b,0,0,0,0,0,0,0,0,0,0
Ugt1a6a,0,0,0,0,0,0,0,0,0,0
Ugt1a5,0,0,0,0,0,0,0,0,0,0
Ugt1a2,0,0,0,0,0,0,0,0,0,0
